Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01 00:00:00+05:30,45.01415117990012,46.61110788397592,44.41529479551922,45.363487243652344,51968,0.0,0.0
2002-07-02 00:00:00+05:30,46.31167906480304,47.60920375168604,45.812630815429884,46.511295318603516,62553,0.0,0.0
2002-07-03 00:00:00+05:30,46.461391643212636,47.4095840864284,46.062155324841164,46.4114875793457,19050,0.0,0.0
2002-07-04 00:00:00+05:30,47.20996500933732,47.30977694659142,45.4133920205606,46.161964416503906,28525,0.0,0.0
2002-07-05 00:00:00+05:30,46.71091832516188,46.71091832516188,45.41339355646443,45.762725830078125,19528,0.0,0.0
2002-07-08 00:00:00+05:30,43.41719902417936,45.912440347408065,42.918150759533624,45.16386795043945,23664,0.0,0.0
2002-07-09 00:00:00+05:30,46.261772535938405,46.261772535938405,42.46900649216416,43.21757888793945,30232,0.0,0.0
2002-07-10 00:00:00+05:30,44.61491480065023,44.66481886471019,42.01986158773618,42.41910171508789,15094,0.0,0.0
2002-07-11 00:00:00+05:30,43.91624688503889,44.714723339643285,41.92005384480984,42.31929397583008,31276,0.0,0.0
2002-07-12 00:00:00+05:30,43.66672159251259,43.66672159251259,41.121576295464756,41.62062454223633,17793,0.0,0.0
2002-07-15 00:00:00+05:30,46.81072979342111,46.81072979342111,39.52462192072887,40.0236701965332,13957,0.0,0.0
2002-07-16 00:00:00+05:30,39.97376327655143,41.1215757519289,39.42481097384582,39.77414321899414,19653,0.0,0.0
2002-07-17 00:00:00+05:30,42.818342830448856,42.818342830448856,38.47662062320132,39.22519302368164,19462,0.0,0.0
2002-07-18 00:00:00+05:30,40.92195684283795,40.92195684283795,39.02557195397593,40.47281265258789,17604,0.0,0.0
2002-07-19 00:00:00+05:30,38.925765328954206,43.91624806343552,38.02747691377311,40.073577880859375,70572,0.0,0.0
2002-07-22 00:00:00+05:30,40.92195830205103,41.67053071001538,38.526525073590655,39.12538528442383,25271,0.0,0.0
2002-07-23 00:00:00+05:30,38.476621476136174,39.175289826892836,37.777953125379504,38.0274772644043,17578,0.0,0.0
2002-07-24 00:00:00+05:30,38.52652503182446,38.52652503182446,36.92957208620622,37.17909622192383,13782,0.0,0.0
2002-07-25 00:00:00+05:30,39.92386213694917,39.92386213694917,36.480428266150064,37.079288482666016,16618,0.0,0.0
2002-07-26 00:00:00+05:30,39.4248140565782,39.4248140565782,34.43433126460627,35.08309555053711,20434,0.0,0.0
2002-07-29 00:00:00+05:30,34.733759198398005,34.733759198398005,28.096417517841715,29.29413414001465,32449,0.0,0.0
2002-07-30 00:00:00+05:30,29.942895456428534,30.74137190711275,23.954316365142827,27.09832000732422,15500,0.0,0.0
2002-07-31 00:00:00+05:30,24.95241323678835,30.94099241361755,24.95241323678835,26.998510360717773,16954,0.0,0.0
2002-08-01 00:00:00+05:30,27.098319403449672,29.144418356273324,26.4994611269228,28.246129989624023,16902,0.0,0.0
2002-08-02 00:00:00+05:30,27.8468923450216,28.64537069802704,26.948605863643746,28.096416473388672,10039,0.0,0.0
2002-08-05 00:00:00+05:30,25.95050935017546,29.942895404048606,25.95050935017546,28.096416473388672,5930,0.0,0.0
2002-08-06 00:00:00+05:30,27.84689326555976,33.4362343064933,27.747083230169892,30.791278839111328,53993,0.0,0.0
2002-08-07 00:00:00+05:30,31.190516098482234,31.83927845258706,30.74137190517688,31.040802001953125,24082,0.0,0.0
2002-08-08 00:00:00+05:30,29.493751689455774,30.89108835393005,29.493751689455774,29.942895889282227,9622,0.0,0.0
2002-08-09 00:00:00+05:30,27.447655032354746,29.194323988959137,27.447655032354746,28.3459415435791,3186,0.0,0.0
